fold,train_end,test_start,test_end,n_train,n_test,mae,rank_ic,hit_rate
0,2022-11-19,2022-12-14,2023-06-14,488,124,0.03225034798753604,0.38495672698662464,0.5887096774193549
1,2023-05-20,2023-06-14,2023-12-13,612,126,0.037664509006819384,0.14417097862767156,0.4444444444444444
2,2023-11-18,2023-12-13,2024-06-12,738,124,0.04177672135188808,0.2029457120377655,0.4112903225806452
3,2024-05-18,2024-06-12,2024-12-11,862,126,0.0183243964974705,0.505445819272591,0.7857142857142857
4,2024-11-16,2024-12-11,2025-06-11,988,123,0.052276509003031706,-0.11043324605641615,0.5528455284552846
5,2025-05-17,2025-06-11,2025-12-10,1111,126,0.029859691565189694,0.11041919760029997,0.2857142857142857
