fold,train_end,test_start,test_end,n_train,n_test,mae,rank_ic,hit_rate
0,2022-11-19,2022-12-14,2023-06-14,1952,496,0.04945464966162531,0.37393127090991696,0.5866935483870968
1,2023-05-20,2023-06-14,2023-12-13,2448,504,0.04842102934079196,-0.04490890688187958,0.5535714285714286
2,2023-11-18,2023-12-13,2024-06-12,2952,496,0.05349441771889997,0.18506119807800864,0.3387096774193548
3,2024-05-18,2024-06-12,2024-12-11,3448,504,0.03671126542049931,0.034000616761477344,0.6031746031746031
4,2024-11-16,2024-12-11,2025-06-11,3952,492,0.05110700382716359,0.1414669044902669,0.5873983739837398
5,2025-05-17,2025-06-11,2025-12-10,4444,504,0.0731936218640304,0.16959806460623345,0.2976190476190476
