fold,train_end,test_start,test_end,n_train,n_test,mae,rank_ic,hit_rate
0,2022-12-04,2022-12-14,2023-06-14,1988,496,0.02566287837263481,-0.08562877965812422,0.4475806451612903
1,2023-06-04,2023-06-14,2023-12-13,2484,504,0.024409527733800944,-0.09670754805010345,0.4384920634920635
2,2023-12-03,2023-12-13,2024-06-12,2988,496,0.021709384667438478,0.10532943765548912,0.48185483870967744
3,2024-06-02,2024-06-12,2024-12-11,3484,504,0.021240736304120572,0.17576539818139728,0.6011904761904762
4,2024-12-01,2024-12-11,2025-06-11,3988,492,0.029389532512628658,0.2991823006362661,0.6260162601626016
5,2025-06-01,2025-06-11,2025-12-10,4480,504,0.030107930732182733,-0.060654085857321904,0.3948412698412698
