symbol,entry_date,entry_price,exit_date,exit_price,pnl_pct,hold_days
IWM,2020-12-15,182.7493133544922,2021-03-25,203.76473999023438,0.11499592666034826,68
IWM,2021-04-06,210.95945739746094,2021-04-20,204.2632598876953,-0.031741632218694825,10
IWM,2021-04-23,212.3231201171875,2021-05-11,205.92782592773438,-0.03012057370823945,12
IWM,2021-05-28,212.0785675048828,2021-07-08,208.81802368164062,-0.015374225984278764,27
IWM,2021-08-30,212.37838745117188,2021-09-20,204.57009887695312,-0.03676592834105571,14
IWM,2021-09-27,213.9287109375,2021-09-30,206.6636199951172,-0.03396033618182897,3
IWM,2021-10-14,213.39019775390625,2021-11-29,210.4048309326172,-0.01399017786530175,31
IWM,2022-01-04,213.195068359375,2022-01-05,205.9742431640625,-0.03386956954905084,1
IWM,2022-03-21,194.6785888671875,2022-04-08,187.8737030029297,-0.03495446470952285,14
IWM,2022-06-07,181.25582885742188,2022-06-10,170.01458740234375,-0.06201864803984112,3
IWM,2022-07-21,173.66067504882812,2022-09-01,172.7848358154297,-0.005043394154446181,30
IWM,2022-10-27,171.37246704101562,2022-12-15,168.88504028320312,-0.014514739740644388,34
IWM,2023-01-11,175.6912384033203,2023-03-08,179.38272094726562,0.02101119314482303,38
IWM,2023-05-22,171.99761962890625,2023-08-16,179.807861328125,0.04540901040415414,59
IWM,2023-11-15,173.7791748046875,2024-04-12,194.34339904785156,0.11833537744828425,101
IWM,2024-05-07,200.48602294921875,2024-06-10,197.473388671875,-0.015026654891083466,23
IWM,2024-07-11,206.64634704589844,2024-08-07,198.11293029785156,-0.041294786334410784,19
IWM,2024-08-21,211.33486938476562,2024-09-09,204.48849487304688,-0.03239585843855203,12
IWM,2024-09-16,213.44369506835938,2024-12-18,217.99632263183594,0.021329407561176718,66
IWM,2025-01-27,223.58343505859375,2025-02-12,220.74049377441406,-0.012715348448934276,12
IWM,2025-02-18,224.2843017578125,2025-02-20,221.3722686767578,-0.012983668755378028,2
IWM,2025-05-05,196.81900024414062,2025-11-12,242.39451599121094,0.23156054898427986,133
IWM,2025-12-01,244.36439514160156,2026-03-05,256.3040771484375,0.048860154114993976,64
QQQ,2020-12-15,297.2884826660156,2021-02-26,304.46636962890625,0.02414451746842314,49
QQQ,2021-04-05,321.26092529296875,2021-05-11,315.6905822753906,-0.017338999483047433,26
QQQ,2021-05-27,323.0368347167969,2021-09-27,360.2146301269531,0.11508840916779552,84
QQQ,2021-10-20,364.71795654296875,2021-12-20,370.74456787109375,0.016524032392726415,42
QQQ,2021-12-23,386.55059814453125,2022-01-07,369.9361877441406,-0.042981204737855556,10
QQQ,2022-03-24,350.6871643066406,2022-04-13,337.7187805175781,-0.0369799214485163,14
QQQ,2022-07-20,296.0462341308594,2022-08-31,292.37286376953125,-0.012408096904567985,30
QQQ,2022-11-14,279.3627014160156,2022-12-19,264.63885498046875,-0.052705126206596634,24
QQQ,2023-01-17,276.2054748535156,2023-03-10,283.0826110839844,0.0248986238745485,37
QQQ,2023-03-15,293.2659912109375,2023-08-14,364.3943786621094,0.24253881998888627,104
QQQ,2023-08-31,371.9114990234375,2023-09-21,352.6148986816406,-0.05188492529127426,14
QQQ,2023-10-16,363.9956359863281,2023-10-19,354.69403076171875,-0.02555416687731594,3
QQQ,2023-11-07,367.2373962402344,2024-04-16,426.4169006347656,0.1611478161004551,109
QQQ,2024-05-08,435.27960205078125,2024-07-25,454.0122375488281,0.043035868002520045,53
QQQ,2024-08-20,475.7979431152344,2024-09-05,456.7565002441406,-0.040020019309923896,11
QQQ,2024-09-16,468.8431091308594,2025-01-10,503.99517822265625,0.07497618799807408,80
QQQ,2025-01-21,521.4942626953125,2025-02-27,497.1188049316406,-0.04674156459112081,26
QQQ,2025-05-01,479.35968017578125,2025-11-18,594.7926635742188,0.24080661802033124,139
QQQ,2025-12-02,620.4172973632812,2025-12-18,607.5601196289062,-0.020723435321705036,12
QQQ,2025-12-19,615.47998046875,2026-02-05,596.2781982421875,-0.031198061408818544,31
SPY,2020-12-15,342.60345458984375,2021-03-08,355.3560791015625,0.037222696796755515,55
SPY,2021-03-09,360.4297180175781,2021-09-20,408.01519775390625,0.132024295882304,135
SPY,2021-10-18,420.3767395019531,2021-12-03,426.2331848144531,0.01393142094264897,33
SPY,2021-12-07,440.2021789550781,2022-01-18,430.6266784667969,-0.021752505884934326,28
SPY,2022-03-22,425.4352111816406,2022-04-21,414.524658203125,-0.025645627563857982,21
SPY,2022-07-21,378.9946594238281,2022-08-31,375.56378173828125,-0.009052575281041465,29
SPY,2022-10-28,371.228271484375,2022-12-19,364.3051452636719,-0.01864924293890833,35
SPY,2023-01-12,380.5446472167969,2023-02-28,379.8735656738281,-0.0017634765010541163,31
SPY,2023-03-30,388.48291015625,2023-08-16,424.6397399902344,0.09307186722690554,95
SPY,2023-08-31,434.9842834472656,2023-09-20,425.16827392578125,-0.02256635445237735,13
SPY,2023-11-08,423.8209533691406,2024-04-16,491.56671142578125,0.15984523067606632,108
SPY,2024-05-07,504.8533935546875,2024-08-01,531.8189697265625,0.05341268676438835,59
SPY,2024-08-19,548.0767822265625,2024-12-31,577.6997680664062,0.05404897051011783,93
SPY,2025-01-22,597.7686767578125,2025-02-27,576.6844482421875,-0.03527155124618102,25
SPY,2025-05-02,560.3366088867188,2025-11-19,658.87841796875,0.17586180791902015,139
SPY,2025-11-28,679.5208129882812,2026-02-13,679.8931884765625,0.0005479971785465707,52
SPY,2026-02-26,687.422607421875,2026-02-27,684.1216430664062,-0.0048019432585273275,1
XLC,2020-12-15,63.7435417175293,2020-12-22,62.450374603271484,-0.02028702954706069,5
XLC,2020-12-28,64.00666046142578,2021-01-12,61.890499114990234,-0.03306158032898578,10
