date,close,equity,bh_equity
2000-01-03,79.92741394042969,1.0,1.0
2000-01-04,74.44425201416016,1.0,0.9313982317711897
2000-01-05,72.54624938964844,1.0,0.9076516530826023
2000-01-06,67.56396484375,1.0,0.8453165380041667
2000-01-07,75.92050170898438,1.0,0.9498681111535563
2000-01-10,78.02940368652344,1.0,0.976253325857373
2000-01-11,74.23338317871094,1.0,0.9287599775721189
2000-01-12,72.5989990234375,1.0,0.9083116223120381
2000-01-13,76.97496032714844,1.0,0.9630608139595042
2000-01-14,78.76754760742188,1.0,0.9854885041836551
2000-01-18,79.18929290771484,1.0,0.9907651080358365
2000-01-19,80.98182678222656,1.0,1.0131921300817106
2000-01-20,80.19105529785156,1.0,1.0032985097906253
2000-01-21,81.19280242919922,1.0,1.015831720637335
2000-01-24,77.29129791259766,0.9995,0.9670186248012885
2000-01-25,78.45117950439453,1.0144991225702011,0.9815303115257126
2000-01-26,75.28784942626953,0.972978334650625,0.9419527758321062
2000-01-27,76.39498138427734,0.9864219621990792,0.9558044933270945
2000-01-28,72.54624938964844,0.9864219621990792,0.9076516530826023
2000-01-31,75.65689849853516,0.9864219621990792,0.9465700786331287
2000-02-01,77.68669891357422,0.9864219621990792,0.9719656258549102
2000-02-02,78.34574890136719,0.9864219621990792,0.9802112321531968
2000-02-03,81.40367126464844,0.9864219621990792,1.0184699748364061
2000-02-04,81.95722961425781,0.9859287512179797,1.0253957381298606
2000-02-07,83.09077453613281,0.9995650653605369,1.0395779175097646
2000-02-08,86.5704345703125,1.0420036229578056,1.0831131685911155
2000-02-09,83.51258087158203,1.003126093207852,1.0448552849942623
2000-02-10,86.25411224365234,1.036681420390278,1.0791555486574103
2000-02-11,84.25065612792969,1.0113395958616507,1.0540896042341885
2000-02-14,84.14523315429688,1.0100386925972265,1.0527706203157123
2000-02-15,84.7514877319336,1.0175101576999313,1.060355684660326
2000-02-16,84.35609436035156,1.0126012951899916,1.0554087790607436
2000-02-17,86.14867401123047,1.034749048167423,1.077836373830855
2000-02-18,83.03804016113281,0.995475814668252,1.0389181391884077
2000-02-22,83.30167388916016,0.9986779848906625,1.0422165535249936
2000-02-23,87.94122314453125,1.0552125422806906,1.1002635867848083
2000-02-24,89.8392562866211,1.0796500249362684,1.1240105472895539
2000-02-25,87.78307342529297,1.0525632396952964,1.098284919999015
2000-02-28,87.73036193847656,1.051886274727181,1.0976254280397768
2000-02-29,90.0501708984375,1.0816600386337585,1.126649374212862
2000-03-01,90.78829193115234,1.0914016566523332,1.1358842661770256
2000-03-02,88.68594360351562,1.063405268067185,1.1095810464931808
2000-03-03,93.68804931640625,1.1283082130734114,1.1721641511663625
2000-03-06,94.42610931396484,1.1384691123730313,1.1813982794982096
2000-03-07,93.00260162353516,1.1186951455807503,1.1635882738912393
2000-03-08,93.84619140625,1.1302099295629122,1.1741427224981162
2000-03-09,97.00950622558594,1.1738328025659917,1.2137200672836435
2000-03-10,96.58773040771484,1.1677919164516561,1.2084430816153038
2000-03-13,94.05706787109375,1.131733020031626,1.1767810721512266
2000-03-14,90.57736206054688,1.083140531156081,1.1332452483456383
2000-03-15,86.78138732910156,1.083140531156081,1.0857524727846215
2000-03-16,91.73724365234375,1.083140531156081,1.1477569350700623
2000-03-17,93.4770736694336,1.083140531156081,1.1695245606107378
2000-03-20,90.84095001220703,1.083140531156081,1.136543089957987
2000-03-21,94.26795959472656,1.083140531156081,1.1794196127124164
2000-03-22,96.16596221923828,1.083140531156081,1.2031661914010037
2000-03-23,97.85311889648438,1.083140531156081,1.224274802252639
2000-03-24,99.171142578125,1.083140531156081,1.2407650603088167
2000-03-27,99.32933044433594,1.083140531156081,1.2427442043648078
2000-03-28,96.79866790771484,1.083140531156081,1.2110821949007307
2000-03-29,92.79173278808594,1.083140531156081,1.1609500196921683
2000-03-30,90.471923828125,1.083140531156081,1.131926073519083
2000-03-31,92.36991882324219,1.083140531156081,1.155672556753631
2000-04-03,86.8340835571289,1.083140531156081,1.0864117738357806
2000-04-04,85.99051666259766,1.083140531156081,1.0758576115910221
2000-04-05,84.4615478515625,1.083140531156081,1.056728144795378
2000-04-06,86.46500396728516,1.083140531156081,1.0817940892185998
2000-04-07,89.94470977783203,1.083140531156081,1.1253299130241883
2000-04-10,84.4615478515625,1.083140531156081,1.056728144795378
2000-04-11,82.45809936523438,1.083140531156081,1.0316622958261958
2000-04-12,77.60763549804688,1.083140531156081,0.9709764356430729
2000-04-13,74.23338317871094,1.083140531156081,0.9287599775721189
2000-04-14,67.8012466430664,1.083140531156081,0.8482852540881534
2000-04-17,75.60418701171875,1.083140531156081,0.9459105866738906
2000-04-18,77.60763549804688,1.083140531156081,0.9709764356430729
2000-04-19,75.23511505126953,1.083140531156081,0.9412929975107496
2000-04-20,73.6007308959961,1.083140531156081,0.9208446422506688
2000-04-24,71.4918212890625,1.083140531156081,0.8944593320928126
2000-04-25,76.31594848632812,1.083140531156081,0.9548156849314153
2000-04-26,73.70614624023438,1.083140531156081,0.9221635307151054
2000-04-27,76.97496032714844,1.083140531156081,0.9630608139595042
2000-04-28,79.92741394042969,1.083140531156081,1.0
2000-05-01,80.66554260253906,1.083140531156081,1.009234987418203
2000-05-02,76.02593231201172,1.083140531156081,0.951187190526072
2000-05-03,75.18238067626953,1.083140531156081,0.9406332191893928
2000-05-04,75.34052276611328,1.083140531156081,0.9426117905211466
2000-05-05,77.13313293457031,1.083140531156081,0.9650397671074161
2000-05-08,74.12791442871094,1.083140531156081,0.9274404209294055
2000-05-09,72.54624938964844,1.083140531156081,0.9076516530826023
2000-05-10,67.27403259277344,1.083140531156081,0.8416890935932585
2000-05-11,71.3863754272461,1.083140531156081,0.8931400618122178
2000-05-12,71.3863754272461,1.083140531156081,0.8931400618122178
2000-05-15,74.49700927734375,1.083140531156081,0.9320582964546652
2000-05-16,76.60588073730469,1.083140531156081,0.9584431293423236
2000-05-17,75.02422332763672,1.083140531156081,0.93865445694956
2000-05-18,72.33539581298828,1.083140531156081,0.9050135897916105
2000-05-19,68.90841674804688,1.083140531156081,0.8621374488533392
2000-05-22,68.85567474365234,1.083140531156081,0.861477575077943
2000-05-23,63.10891342163086,1.083140531156081,0.7895778220557249
2000-05-24,67.06314849853516,1.083140531156081,0.8390506484861084
2000-05-25,65.58690643310547,1.083140531156081,0.8205808645577815
2000-05-26,65.58690643310547,1.083140531156081,0.8205808645577815
2000-05-30,72.17716979980469,1.083140531156081,0.9030339684654217
2000-05-31,70.12100982666016,1.083140531156081,0.8773086275370013
2000-06-01,73.70614624023438,1.083140531156081,0.9221635307151054
2000-06-02,78.9783935546875,1.083140531156081,0.9881264720206073
