symbol,start_date,end_date,years,trades,strategy_return,buy_hold_return,excess_return,cagr,sharpe,win_rate,avg_win,avg_loss
BND,2020-12-14,2026-04-23,5.3552361396303905,20,0.08067638089950813,-0.013299910834993075,0.0939762917345012,0.01459354738603369,-0.011692712366276148,0.35,0.0236773933747491,-0.0065277700824802375
BTC,2024-07-31,2026-04-23,1.727583846680356,5,0.5842492481042525,0.18825563451854238,0.3959936135857101,0.3051681315687278,0.058781578542206066,0.4,0.3787414288915609,-0.05396200964677219
CHAT,2023-05-18,2026-04-23,2.9322381930184807,10,1.022603292654447,2.06261436807049,-1.040011075416043,0.2715302356019573,0.1406034585499245,0.5,0.19689038815146778,-0.023887041027861846
DBB,2020-12-14,2026-04-23,5.3552361396303905,22,0.25081831679995026,0.6689888084670613,-0.41817049166711107,0.04267601420433187,0.029003450448028434,0.36363636363636365,0.08659566349021942,-0.0293043590786685
DBC,2020-12-14,2026-04-23,5.3552361396303905,23,0.2482503093395656,1.4055234898597406,-1.157273180520175,0.04227594449295813,0.2408959402814237,0.30434782608695654,0.10803425799985698,-0.027839269634412134
EEM,2020-12-14,2026-04-23,5.3552361396303905,24,0.048055624263582564,0.40307215761553555,-0.355016533351953,0.008803151406852505,0.03061682246980501,0.375,0.05577187612636858,-0.02774870623031645
EWH,2020-12-14,2026-04-23,5.3552361396303905,21,0.1874526938582035,0.16797655645267415,0.019476137405529365,0.03260289511930381,-0.018683564903429727,0.2857142857142857,0.1064413280230611,-0.027986404935130795
FXA,2020-12-14,2026-04-23,5.3552361396303905,27,-0.11634137307238845,-0.01877541201089738,-0.09756596106149107,-0.02283131536089833,0.02027076026865517,0.25925925925925924,0.019439456406018428,-0.01273668425434071
FXB,2020-12-14,2026-04-23,5.3552361396303905,21,0.21541596583212108,0.10285496742614951,0.11256099840597157,0.037100760132293464,-0.005567635860055704,0.42857142857142855,0.03125605224600484,-0.006624394395364767
FXE,2020-12-14,2026-04-23,5.3552361396303905,20,0.07677010700325915,-0.007307236065017172,0.08407734306827631,0.013907712183477194,-0.009703090118623525,0.35,0.031062529701637805,-0.010396136404543078
FXI,2020-12-14,2026-04-23,5.3552361396303905,26,-0.14762991307945939,-0.10004315554634385,-0.04758675753311553,-0.029387261524730146,-0.013880425196448321,0.23076923076923078,0.11875188513664399,-0.04042752275199716
FXY,2020-12-14,2026-04-23,5.3552361396303905,22,-0.11074775639337686,-0.367030050792059,0.25628229439868216,-0.0216792316358958,-2.7417320227878292e-17,0.18181818181818182,0.04361463488016344,-0.01580206909988778
GLD,2020-12-14,2026-04-23,5.3552361396303905,22,0.9582025716517748,1.5127668498035722,-0.5545642781517974,0.1337034961194441,-1.0579043661396003e-16,0.36363636363636365,0.12717175369093772,-0.017517861569389746
HYG,2020-12-14,2026-04-23,5.3552361396303905,21,0.12700524074231478,0.23529105498247896,-0.10828581424016417,0.022577640807571964,0.006458647602111499,0.47619047619047616,0.020347495045016647,-0.0071737230784584575
IWM,2020-12-14,2026-04-23,5.3552361396303905,23,0.13735440198093118,0.5453438932460606,-0.4079894912651294,0.024324593482672796,0.04524086834117859,0.30434782608695654,0.08592893838867191,-0.0266731454581506
IYC,2020-12-14,2026-04-23,5.3552361396303905,23,0.4163992822251552,0.5402447829653065,-0.12384550074015133,0.06716452145368423,0.005172141101067803,0.4782608695652174,0.06538970127057528,-0.027163478015883227
IYE,2020-12-14,2026-04-23,5.3552361396303905,33,0.05231374731722127,2.3936418882819175,-2.341328140964696,0.009567242868760095,-7.032599257534435e-17,0.2727272727272727,0.1209240422021426,-0.03830284510558881
IYF,2020-12-14,2026-04-23,5.3552361396303905,24,0.4706718993760368,1.1159457421612,-0.6452738427851632,0.07468391410839414,0.019892656254833118,0.4583333333333333,0.07076774134658058,-0.02552596013088989
IYH,2020-12-14,2026-04-23,5.3552361396303905,19,0.2965745656775125,0.36030237224187484,-0.06372780656436233,0.04969476116720517,-3.6856592875976876e-17,0.3684210526315789,0.07510304460991689,-0.019626373985733293
IYJ,2020-12-14,2026-04-23,5.3552361396303905,23,0.28269802516329867,0.7466034020358335,-0.46390537687253486,0.047587752514544945,0.003733002063676121,0.43478260869565216,0.06399446665351893,-0.027165557269431755
IYW,2020-12-14,2026-04-23,5.3552361396303905,20,0.6657589791627381,1.6192864497774897,-0.9535274706147516,0.09997377885446368,0.05351210935169538,0.4,0.1476552167901236,-0.04441100412890592
LQD,2020-12-14,2026-04-23,5.3552361396303905,21,0.0559658072248157,-0.027210185481915027,0.08317599270673073,0.010220579845876987,-0.002242015807166458,0.38095238095238093,0.030972340892362813,-0.014296586581225611
QQQ,2020-12-14,2026-04-23,5.3552361396303905,20,0.6230177005919928,1.2146275791955174,-0.5916098786035247,0.09464757603693852,0.051630802618494516,0.45,0.10479573759752851,-0.034412316295558604
RSP,2020-12-14,2026-04-23,5.3552361396303905,22,0.3551601631990393,0.7752407164645212,-0.4200805532654819,0.05839315550562452,0.021270673803141908,0.4090909090909091,0.059734944772816,-0.01578212794688571
SCHD,2020-12-14,2026-04-23,5.3552361396303905,24,0.2380251119431427,0.7975348660436178,-0.5595097541004751,0.040676292494382205,0.020845932556398904,0.3333333333333333,0.07569779925502385,-0.02216754804493875
SHV,2020-12-14,2026-04-23,5.3552361396303905,7,-0.002201389183943747,0.17251423815530464,-0.1747156273392484,-0.00041144075530785695,11.658688079493778,0.0,0.0,-0.0003146997471663785
SLV,2020-12-14,2026-04-23,5.3552361396303905,23,0.404300771866833,2.0857399695065215,-1.6814391976396885,0.06545642414392128,-0.014510431089301251,0.30434782608695654,0.24731879686738953,-0.05577222072873993
SPY,2020-12-14,2026-04-23,5.3552361396303905,17,0.7120441986394039,1.0957983713713522,-0.38375417273194823,0.1056176965559057,0.034253598557977674,0.5294117647058824,0.07999636438108915,-0.017437826291063892
SQQQ,2020-12-14,2026-04-23,5.3552361396303905,21,-0.8202049019480095,-0.9671719446837131,0.1469670427357036,-0.2741575969733524,-4.20066845411544e-17,0.14285714285714285,0.12562458063460222,-0.10702294644019536
TLT,2020-12-14,2026-04-23,5.3552361396303905,20,-0.05167415841327505,-0.35290573695496325,0.3012315785416882,-0.009858604403291005,-4.324184586459133e-17,0.25,0.04832622945445312,-0.018927706734302732
TQQQ,2020-12-14,2026-04-23,5.3552361396303905,22,1.2204980311108842,2.0109068551986504,-0.7904088240877662,0.16062992980244828,0.04328909365700177,0.4090909090909091,0.2851599247204326,-0.0954631953509241
UNG,2020-12-14,2026-04-23,5.3552361396303905,27,-0.46671355862370145,-0.7266112114628085,0.25989765283910704,-0.11076921860391353,1.2795066573258331e-17,0.2222222222222222,0.2986391513997894,-0.09164456440957512
UPRO,2020-12-14,2026-04-23,5.3552361396303905,21,1.3807299486069922,2.6499441201200984,-1.2692141715131062,0.1758292572865925,0.03242299927189752,0.38095238095238093,0.24694756236125534,-0.05995022579054897
USO,2020-12-14,2026-04-23,5.3552361396303905,24,0.11613958232367994,3.187752840805334,-3.071613258481654,0.02072940653275568,0.36919348024309323,0.3333333333333333,0.16264676058243377,-0.06275078858664114
VT,2020-12-14,2026-04-23,5.3552361396303905,17,0.5176321623593674,0.839389111755184,-0.32175694939581667,0.08101019909407214,0.03418550355562548,0.6470588235294118,0.05317106198634698,-0.022819240133414704
VXUS,2020-12-14,2026-04-23,5.3552361396303905,23,0.2505226880353637,0.6369608980724316,-0.3864382100370679,0.042629992260700744,0.009367703094855382,0.43478260869565216,0.05353359750851654,-0.02169106450327702
WPM,2020-12-14,2026-04-23,5.3552361396303905,25,0.7221725615446,2.730341244463648,-2.008168682919048,0.10683614837155164,-0.008195653854394112,0.36,0.19498143811540591,-0.05896744903238983
XLC,2020-12-14,2026-04-23,5.3552361396303905,23,0.46098148588314936,0.8567765643132417,-0.3957950784300923,0.07335806118116928,0.005863162397686304,0.34782608695652173,0.11235556499922215,-0.029639601044573635
XLE,2020-12-14,2026-04-23,5.3552361396303905,32,0.07468294648349949,2.5387387613627195,-2.46405581487922,0.013540433909765115,8.055843792671092e-18,0.3125,0.10605353444877712,-0.03980449685739789
XLF,2020-12-14,2026-04-23,5.3552361396303905,23,0.4716209120659576,1.0288293015525132,-0.5572083894865556,0.07481337673673494,0.018009767158174803,0.5217391304347826,0.058181071700611875,-0.023525047301111244
XLI,2020-12-14,2026-04-23,5.3552361396303905,21,0.5252480166358824,1.1594919449129326,-0.6342439282770502,0.08202112385080906,0.0141759537053691,0.38095238095238093,0.1004736921862372,-0.02536415562501265
XLK,2020-12-14,2026-04-23,5.3552361396303905,22,0.5862254179143831,1.6071978857280453,-1.0209724678136622,0.08997055431433765,0.059580586980646416,0.36363636363636365,0.13375170897385782,-0.03555179210207623
XLP,2020-12-14,2026-04-23,5.3552361396303905,26,0.09406676438559591,0.43958356124445097,-0.34551679685885506,0.01692933544507791,1.0603547326198324e-17,0.4230769230769231,0.03514953006695218,-0.018747975225115544
XLRE,2020-12-14,2026-04-23,5.3552361396303905,25,0.23230614450661347,0.4729241535800326,-0.24061800907341913,0.03977691398615146,0.025515274776019607,0.36,0.07178160202880757,-0.024244331129877596
XLU,2020-12-14,2026-04-23,5.3552361396303905,25,0.0028710338171828997,0.7604846914019892,-0.7576136575848063,0.0005354923171940751,-4.1192061906878364e-17,0.44,0.04632796358166366,-0.034146976311633
XLV,2020-12-14,2026-04-23,5.3552361396303905,18,0.4122046148871412,0.440889389766452,-0.02868477487931076,0.06657365654468106,9.205812603576765e-17,0.5,0.06237218543603684,-0.020373742859834697
XLY,2020-12-14,2026-04-23,5.3552361396303905,23,0.41882781361340404,0.5722159097797398,-0.15338809616633575,0.06750595657393155,-0.0033360404943516965,0.43478260869565216,0.07418769923383306,-0.02653408880662345
