fold,train_end,test_start,test_end,n_train,n_test,mae,rank_ic,hit_rate
0,2022-11-19,2022-12-14,2023-06-14,1952,496,0.049767454929588104,0.24607518030961917,0.532258064516129
1,2023-05-20,2023-06-14,2023-12-13,2448,504,0.04705544025176506,-0.01707468571584838,0.5992063492063492
2,2023-11-18,2023-12-13,2024-06-12,2952,496,0.049543206710393486,0.1419586925266162,0.3911290322580645
3,2024-05-18,2024-06-12,2024-12-11,3448,504,0.03841083322001204,0.07368790556988106,0.5992063492063492
4,2024-11-16,2024-12-11,2025-06-11,3952,492,0.05369277829555574,0.13372214564889393,0.6158536585365854
5,2025-05-17,2025-06-11,2025-12-10,4444,504,0.06832693413259136,0.1701614921503511,0.30952380952380953
