symbol,trigger_date,coppock_value,entry_close,exit_date,exit_close,price_change,pct_return
QQQ,2021-03-09,-13.692567955738115,311.56,2021-04-07,331.63,20.069999999999993,0.06441776864809334
QQQ,2021-05-19,-8.739550735812772,322.69,2021-06-17,345.345,22.65500000000003,0.0702066999287243
QQQ,2021-10-06,-8.506311600770893,359.86,2021-11-03,393.22,33.360000000000014,0.09270271772355909
QQQ,2021-12-08,-2.232441843373485,399.715,2022-01-06,384.06,-15.654999999999973,-0.03916540535131274
QQQ,2021-12-10,-2.387043134263,398.22,2022-01-10,380.33,-17.890000000000043,-0.04492491587564673
QQQ,2021-12-15,-2.172029865951594,397.05,2022-01-13,377.88,-19.170000000000016,-0.048281072912731426
QQQ,2021-12-21,-1.9615544788875847,389.255,2022-01-20,361.56,-27.694999999999993,-0.0711487328358017
QQQ,2022-01-28,-19.43279487089626,351.87,2022-02-28,347.0,-4.8700000000000045,-0.013840338761474391
QQQ,2022-02-28,-8.749022458207014,347.0,2022-03-28,365.0,18.0,0.05187319884726227
QQQ,2022-03-04,-8.175234697534284,337.33,2022-04-01,361.83,24.5,0.07262917617763032
QQQ,2022-03-09,-9.154402519190848,335.02,2022-04-06,353.18,18.160000000000025,0.054205719061548585
QQQ,2022-03-15,-9.06071514678928,328.11,2022-04-12,339.52,11.409999999999968,0.034774923044101014
QQQ,2022-04-28,-15.938534939118655,327.99,2022-05-26,299.33,-28.660000000000025,-0.08738071282661064
QQQ,2022-05-02,-16.108807048023404,318.43,2022-05-31,308.53,-9.900000000000034,-0.03109003548660627
QQQ,2022-05-13,-17.890315550998096,301.78,2022-06-13,275.57,-26.20999999999998,-0.08685134866458999
QQQ,2022-05-23,-15.710409629223122,293.38,2022-06-22,280.7,-12.680000000000007,-0.04322039675506173
QQQ,2022-06-24,-15.504116422932348,294.86,2022-07-25,300.36,5.5,0.018652920029844644
QQQ,2022-09-08,-16.33831694751101,300.54,2022-10-06,279.79,-20.75,-0.0690423903640115
QQQ,2022-09-28,-13.358310573757498,279.8,2022-10-26,277.86,-1.9399999999999977,-0.006933523945675479
QQQ,2022-10-03,-16.09808958648193,273.39,2022-10-31,277.88,4.490000000000009,0.016423424412012277
QQQ,2022-11-10,-1.8389020403612724,282.65,2022-12-09,282.08,-0.5699999999999932,-0.0020166283389350115
QQQ,2023-01-03,-13.156925745128365,264.49,2023-02-01,301.02,36.52999999999997,0.13811486256569228
QQQ,2023-03-03,-6.434738191145857,299.71,2023-03-31,320.83,21.120000000000005,0.0704681191818759
QQQ,2023-03-13,-4.115929981803782,290.7,2023-04-11,315.79,25.090000000000032,0.08630890952872394
QQQ,2023-04-27,-0.5423555961492174,320.37,2023-05-25,339.68,19.310000000000002,0.06027405812029851
QQQ,2023-08-22,-7.8409463212910895,363.38,2023-09-20,364.55,1.170000000000016,0.0032197699378062605
QQQ,2023-10-02,-8.556718075461788,361.23,2023-10-30,349.16,-12.069999999999993,-0.03341361459457959
QQQ,2023-10-04,-8.519097996396201,359.72,2023-11-01,357.08,-2.640000000000043,-0.007339041476704278
QQQ,2023-11-02,-7.198457634682303,363.47,2023-12-01,389.95,26.47999999999996,0.07285333039865738
QQQ,2024-01-16,-0.55997456430599,409.52,2024-02-13,428.49,18.970000000000027,0.04632252393045522
QQQ,2024-01-18,0.11190561964927632,413.14,2024-02-15,434.48,21.340000000000032,0.05165319262235579
QQQ,2024-04-11,-0.1790175056948261,445.475,2024-05-09,441.07,-4.40500000000003,-0.009888321454627147
QQQ,2024-04-24,-7.679723554035176,426.54,2024-05-22,455.68,29.139999999999986,0.06831715665588223
QQQ,2024-04-26,-7.3697154133252605,431.085,2024-05-24,457.98,26.89500000000004,0.06238908799888665
QQQ,2024-05-02,-5.357391289709894,426.92,2024-05-31,451.6,24.680000000000007,0.05780942565351821
QQQ,2024-08-08,-15.021778253858404,448.0,2024-09-06,448.86,0.8600000000000136,0.0019196428571428559
QQQ,2024-09-12,-5.628877635451252,473.18,2024-10-10,492.62,19.439999999999998,0.0410837313495922
QQQ,2024-11-06,0.24349987660930214,505.6,2024-12-05,521.89,16.289999999999964,0.03221914556962013
QQQ,2025-01-06,-2.9202901450751635,524.55,2025-02-05,526.83,2.2800000000000864,0.00434658278524469
QQQ,2025-01-15,-4.3570907797430944,516.56,2025-02-13,535.88,19.32000000000005,0.03740126993960047
QQQ,2025-03-14,-17.566952685530683,479.67,2025-04-11,454.27,-25.400000000000034,-0.052953071903600435
QQQ,2025-04-09,-14.202961850936534,464.74,2025-05-08,488.16,23.420000000000016,0.050393768558764096
QQQ,2025-04-14,-14.821553028395483,457.27,2025-05-13,515.53,58.25999999999999,0.12740831456251223
QQQ,2025-09-04,-1.203226464974146,575.26,2025-10-02,605.77,30.50999999999999,0.05303688766818482
QQQ,2025-11-24,-7.808040499525716,605.34,2025-12-23,622.13,16.789999999999964,0.027736478673142217
QQQ,2025-12-30,-1.0306920592813926,619.42,2026-01-29,629.36,9.940000000000055,0.016047270026799287
QQQ,2026-01-05,-0.18248274392543473,617.97,2026-02-03,616.46,-1.509999999999991,-0.0024434843115361815
QQQ,2026-02-09,-2.0128459879471667,614.33,2026-03-10,607.61,-6.720000000000027,-0.010938746276431321
QQQ,2026-02-20,-5.6474623916024935,608.87,2026-03-20,582.085,-26.784999999999968,-0.04399132819813745
