is_rank,is_sharpe,entry_fast,entry_slow,exit_fast,exit_slow,trail_stop_pct,oos_sharpe,oos_cagr,oos_max_dd,oos_calmar,oos_win_rate,oos_trades
1,0.5072364283564847,12,16,8,10,0.02,0.6849004455078298,0.04791695954875119,-0.11076209940933984,0.432611514265959,0.4,25
2,0.5070906670541365,12,16,7,11,0.02,0.4907533806372283,0.031302985684602325,-0.11076209940933984,0.28261459336299605,0.4,25
3,0.48811613906107787,12,16,10,12,0.02,0.6459077716236179,0.045172131153701445,-0.11076209940933984,0.407830218049229,0.4,25
4,0.48383837923279593,12,16,6,12,0.02,0.5127338705384387,0.03278355555407586,-0.10263562445125743,0.31941692496492835,0.4,25
5,0.48237854014188336,12,16,9,11,0.02,0.6849004455078298,0.04791695954875119,-0.11076209940933984,0.432611514265959,0.4,25
6,0.48072066532628277,12,16,8,13,0.02,0.6459077716236179,0.045172131153701445,-0.11076209940933984,0.407830218049229,0.4,25
7,0.4786137863514183,12,16,7,12,0.02,0.6849004455078298,0.04791695954875119,-0.11076209940933984,0.432611514265959,0.4,25
8,0.47745733338213914,12,16,8,12,0.02,0.6849004455078298,0.04791695954875119,-0.11076209940933984,0.432611514265959,0.4,25
9,0.4750783203523251,3,8,3,25,0.06,0.8161776379099671,0.11623796840361345,-0.2512330201320005,0.4626699481721821,0.46511627906976744,43
10,0.47361820950987843,12,16,8,10,0.08,0.9352244472322631,0.1006912653519969,-0.15292802972557168,0.6584225634286056,0.5416666666666666,24
11,0.47285491125769546,11,17,8,10,0.02,0.6912535874440944,0.048406399684926216,-0.11076209940934008,0.4370303555373411,0.4,25
12,0.4727118545773386,11,17,7,11,0.02,0.4975789885462611,0.03178466609749342,-0.11076209940934008,0.2869633770666246,0.4,25
13,0.47198698360887187,12,16,9,12,0.02,0.6459077716236179,0.045172131153701445,-0.11076209940933984,0.407830218049229,0.4,25
14,0.47039167715612773,12,16,3,18,0.02,0.7373681348294896,0.05120724408955524,-0.10263562445125743,0.498922711907638,0.4,25
15,0.4702941939438511,12,16,8,9,0.02,0.5127338705384387,0.03278355555407586,-0.10263562445125743,0.31941692496492835,0.4,25
16,0.4701575969324468,12,16,10,11,0.02,0.6459077716236179,0.045172131153701445,-0.11076209940933984,0.407830218049229,0.4,25
17,0.4699536850337013,12,16,4,16,0.02,0.7405703275493747,0.05162056008592231,-0.10263562445125743,0.5029497346746048,0.4,25
18,0.4691310784304905,12,16,7,11,0.08,0.8652056388926589,0.08910200408070579,-0.152928029725572,0.5826401101263028,0.5416666666666666,24
19,0.4661492207485179,12,16,5,14,0.02,0.548616447672577,0.0349478682842812,-0.10263562445125743,0.34050426906963727,0.4,25
20,0.46588739447295086,12,16,10,13,0.02,0.6459077716236179,0.045172131153701445,-0.11076209940933984,0.407830218049229,0.4,25
