date,baseline,sh_overlay,spy_bh
2021-01-04,1.0,1.0,1.0
2021-01-05,1.0,1.0,1.006887183350012
2021-01-06,0.9995,0.9995,1.0129068909345005
2021-01-07,1.01768253878693,1.01768253878693,1.0279562043406323
2021-01-08,1.0276845957531358,1.0276845957531358,1.0338132435522436
2021-01-11,1.0179201697358868,1.0179201697358868,1.026844459346329
2021-01-12,1.0241990506784429,1.0241990506784429,1.027061528289808
2021-01-13,1.0264795262820634,1.0264795262820634,1.0298269795185406
2021-01-14,1.023641218507902,1.023641218507902,1.0262207194706576
2021-01-15,1.0132807139222928,1.0132807139222928,1.0187369076404535
2021-01-19,1.0211611783845898,1.0211611783845898,1.0267359248745898
2021-01-20,1.034720058768061,1.034720058768061,1.040944696131035
2021-01-21,1.0356015466486406,1.0356015466486406,1.0418935949728183
2021-01-22,1.031074803272646,1.031074803272646,1.0382059118486755
2021-01-25,1.0333840455897878,1.0333840455897878,1.0423004436846537
2021-01-26,1.0331971709623518,1.0331971709623518,1.040673315506776
2021-01-27,1.0106439724191036,1.0106439724191036,1.0152388265050247
2021-01-28,1.0151844179607665,1.0151844179607665,1.023970118086572
2021-01-29,0.998161959258602,0.998161959258602,1.0034707919603068
2021-02-01,1.0022769932114983,1.0022769932114983,1.0201740782703321
2021-02-02,1.0058455175005123,1.0058455175005123,1.034599562910971
2021-02-03,1.0059217709477917,1.0059217709477917,1.0354131714448205
2021-02-04,1.0115251540729862,1.0115251540729862,1.0471812948793595
2021-02-05,1.0148696029683666,1.0148696029683666,1.0513026714413538
2021-02-08,1.0215298879573416,1.0215298879573416,1.058895373302582
2021-02-09,1.0199824079501847,1.0199824079501847,1.0581902103506509
2021-02-10,1.0172982618862112,1.0172982618862112,1.0577292277376775
2021-02-11,1.0161957316903505,1.0161957316903505,1.0594375123223514
2021-02-12,1.0205013311349045,1.0205013311349045,1.0646709894379336
2021-02-16,1.0236105013508818,1.0236105013508818,1.063748935322166
2021-02-17,1.0264833711836825,1.0264833711836825,1.063993026771303
2021-02-18,1.0238337169897627,1.0238337169897627,1.0594647126076522
2021-02-19,1.025008388334641,1.025008388334641,1.0575935818704587
2021-02-22,1.0198763387649552,1.0198763387649552,1.0494590076589247
2021-02-23,1.0218479823821391,1.0218479823821391,1.0507335099159263
2021-02-24,1.030061006926825,1.030061006926825,1.0623117646922875
2021-02-25,1.0184679544080806,1.0184679544080806,1.0367145184278377
2021-02-26,1.0119322492791925,1.0119322492791925,1.0313725957303375
2021-03-01,1.026448163925899,1.026448163925899,1.0563733912942377
2021-03-02,1.0233630230614672,1.0233630230614672,1.0481303715007855
2021-03-03,1.0220097348954698,1.0220097348954698,1.0342471147697372
2021-03-04,1.0155104758870763,1.0155104758870763,1.0214485805273334
2021-03-05,1.0206883404376057,1.0205614016281197,1.040239710958746
2021-03-08,1.0242403966601985,1.0252860597689848,1.0350604566341228
