year,symbol,entry_fast,entry_slow,exit_fast,exit_slow,trailing_stop,is_sharpe,oos_strat_ret,oos_trades,oos_oos_strat_ret,oos_cagr,oos_sharpe,oos_max_dd,oos_win_rate,oos_trail_exits,oos_sma_exits,oos_bh_return
2019,SPY,8,26,12,16,0.06,0.7607757455617661,0.0904922058533828,3,0.0904922058533828,0.09107791116544717,2.5253199377398796,-0.041196219366009035,0.6666666666666666,0,3,0.3108746917913159
2019,QQQ,7,13,10,24,0.05,0.8919716967055197,0.0974705923990613,3,0.0974705923990613,0.09810346254646429,1.5858901956076144,-0.11873021153821883,0.3333333333333333,2,1,0.38405316922701427
2020,SPY,8,26,12,16,0.06,0.8360718341303087,0.04958788533610714,5,0.04958788533610714,0.04976234190540785,0.3846636708865616,-0.13157113710998936,0.6,3,2,0.17235288736209234
2020,QQQ,5,12,10,25,0.05,0.9719165675313886,0.042700972342014865,4,0.042700972342014865,0.04285070820351344,0.8801181015901315,-0.12925641372630303,0.25,4,0,0.4596881111607568
2021,SPY,8,13,3,21,0.06,0.8699842918731914,0.09336454424004237,8,0.09336454424004237,0.0945141005423944,0.91238365151387,-0.04179996138114206,0.75,0,8,0.30505466635116707
2021,QQQ,8,13,12,26,0.05,1.1476989504869286,0.13643558197101613,4,0.13643558197101613,0.13814801197790594,1.0679131957488968,-0.09424772777438795,0.75,2,2,0.2924465763241905
2022,SPY,9,26,12,16,0.06,0.9115943980536552,0.027076569068440248,4,0.027076569068440248,0.02739966549666173,0.21782037788782077,-0.10452679085095573,0.5,2,2,-0.18646407230964557
2022,QQQ,5,12,11,15,0.06,1.2208429221429744,-0.0548190518863676,8,-0.0548190518863676,-0.055446198511371225,-0.28858976708588696,-0.16614909960880253,0.5,5,3,-0.33219889549311576
2023,SPY,10,11,7,25,0.06,1.0435587323919977,0.0978173107762228,6,0.0978173107762228,0.09931242899796522,1.6237301186707511,-0.11035051190032241,0.5,0,6,0.26709219554611585
2023,QQQ,3,16,10,24,0.06,1.1531260450897711,0.14342238382194505,5,0.14342238382194505,0.14565943837846818,1.5452027182805612,-0.15272923815021056,0.6,2,3,0.5590953945240507
2024,SPY,12,13,3,21,0.06,1.1099839672191438,0.1243621179094796,5,0.1243621179094796,0.1248147951447387,1.3007977293082396,-0.06644027331441527,0.6,0,5,0.2558930569325586
2024,QQQ,11,13,10,24,0.05,1.1724624834114739,0.03229746128047495,3,0.03229746128047495,0.03241015114716905,0.6689352262808511,-0.12554781880569055,0.6666666666666666,2,1,0.27739912351043966
2025,SPY,10,11,7,25,0.06,1.0598632846223484,0.13264670323768746,4,0.13264670323768746,0.1335214987325195,1.5042952335972393,-0.11135735847700823,0.25,1,3,0.18009014616634136
2025,QQQ,8,11,10,24,0.05,1.1579296044392962,0.20229092742107047,5,0.20229092742107047,0.2036646248159526,1.2963552747015499,-0.15323409080676587,0.4,3,2,0.2100925351496274
2026,SPY,8,10,8,17,0.03,1.1920671020750375,0.001199234967024676,4,0.001199234967024676,0.003347254753176987,2.756418766724098,-0.02860010577158223,0.5,0,4,0.08953447287954783
2026,QQQ,8,12,8,24,0.05,1.194263616025015,-0.011022430069490219,3,-0.011022430069490219,-0.030430396707047502,3.3356837850500964,-0.04608644995202493,0.6666666666666666,0,3,0.16716334214052678
