symbol,year,static_ml,static_ml_cap,bh,adaptive_ml,adaptive_ml_cap
SPY,2010,0.2604149981731596,0.2604149981731596,0.15056182263233442,0.204148209696702,0.204148209696702
SPY,2011,-0.041878494877763406,-0.041878494877763406,0.018949669304876515,-0.0687813680112852,-0.0687813680112852
SPY,2012,0.04772752964277638,0.04772752964277638,0.15990352502958372,0.04187353608961475,0.04187353608961475
SPY,2013,0.15480436228278327,0.15480436228278327,0.32307832264970227,0.32954135551853847,0.32954135551853847
SPY,2014,0.1415805153921974,0.1415805153921974,0.13463702993068805,0.14384777702083618,0.14384777702083618
SPY,2015,0.03821543129461946,0.03821543129461946,0.012343395865470175,0.021490618935914307,0.021490618935914307
SPY,2016,0.19779358901137645,0.19779358901137645,0.11997887889732617,0.18678683544938335,0.18678683544938335
SPY,2017,0.15788211449782197,0.15788211449782197,0.2170541661142047,0.2194973664176052,0.2194973664176052
SPY,2018,-0.004474108010365407,-0.06010069490437231,-0.04568988601824886,-0.019472088361668805,-0.05163159634620784
SPY,2019,0.3030104915818115,0.3030104915818115,0.31223822918866206,0.3498531118374544,0.2573421471685102
SPY,2020,0.22858889688769657,0.22858889688769657,0.18331625908070248,0.4992087115318158,0.29149590592387553
SPY,2021,0.19853746759468627,0.19853746759468627,0.28728802339294024,0.221767894021218,0.19045851630430266
SPY,2022,-0.008169450392594868,-0.008169450392594868,-0.1817538593759448,-0.0984318316406474,-0.10219524102547128
SPY,2023,0.22475044899814156,0.22475044899814156,0.2617579498645455,0.2316272513714266,0.2316272513714266
SPY,2024,0.14696828058525746,0.14696828058525746,0.24886481037510721,0.2734027306945894,0.2734027306945894
SPY,2025,0.23630876539084333,0.23630876539084333,0.17719048869766385,0.2242596489283577,0.2242596489283577
SPY,2026,0.048213375719004414,0.048213375719004414,0.06671038654306272,0.042578911468523106,0.0039216807669899545
QQQ,2010,0.23896351206129185,0.23896351206129185,0.20143756551080072,0.23896351206129185,0.23896351206129185
QQQ,2011,-0.06600682130866964,-0.13143961496142975,0.03475783949614453,0.013420391917838614,-0.05400772394606235
QQQ,2012,0.18647334175028907,0.18647334175028907,0.1811257796084278,0.026222236361588713,0.026222236361588713
QQQ,2013,0.2891893266367829,0.2891893266367829,0.36634107467274624,0.3365739446765428,0.3365739446765428
QQQ,2014,0.1836429149574248,0.1836429149574248,0.19181480508588233,0.1836429149574248,0.1836429149574248
QQQ,2015,0.10184529950193122,0.012924253947328435,0.09435885395524224,0.07101326811783726,-0.013844590333349838
QQQ,2016,0.13152177092118866,0.13152177092118866,0.07097893166431257,0.17522351469552855,0.17522351469552855
QQQ,2017,0.10230513018941667,0.10230513018941667,0.32663546852740133,0.33964063660318566,0.33964063660318566
QQQ,2018,-0.07651872669959103,-0.005560957391775978,-0.0012620695542832072,-0.05480139418164076,-0.0946689459890453
QQQ,2019,0.35674212984886045,0.23162156409967327,0.3896155370180392,0.3877855061752855,0.3877855061752855
QQQ,2020,0.5705079655090317,0.4805663399756064,0.48406098351909543,0.6954035009844461,0.5876974830754234
QQQ,2021,0.2147055607362771,0.2147055607362771,0.2741976405176596,0.2147055607362771,0.2147055607362771
QQQ,2022,-0.058030114190136484,-0.058030114190136484,-0.3257701594866932,-0.05916633772097968,-0.10880792401912565
QQQ,2023,0.41081639048245266,0.41081639048245266,0.5485558874298273,0.44922458472350213,0.44922458472350213
QQQ,2024,0.16222305948829896,0.09502372148628302,0.255782636027313,0.16910131662622607,0.11900259157507431
QQQ,2025,0.20739432066167818,0.20739432066167818,0.20772548405922642,0.29207824446206065,0.29207824446206065
QQQ,2026,0.14652201602728265,0.14652201602728265,0.13064200999186237,0.127291956182205,0.040865776584092295
