symbol,arm,cagr,vol,sharpe,maxdd,exposure,trades,n,suppr,capped
SPY,static+ML,0.13755326573280868,0.11880637957765308,1.1445551733697672,-0.13736063891266626,0.6927914852443154,33,4134,15,0
SPY,static+ML_cap1,0.1335731419298376,0.11829931286411752,1.119323454610902,-0.1373690920707984,0.6915820029027576,33,4134,14,1
SPY,static_raw,0.054475493627271554,0.08575073773782155,0.6615965607705041,-0.16762274174967373,0.4429124334784712,79,4134,0,0
SPY,adaptive+ML,0.16049020040018092,0.13465023970714138,1.1731341910744035,-0.15602948116338644,0.8195452346395743,43,4134,43,0
SPY,adaptive+ML_cap1,0.13797482795429583,0.1290420218635805,1.06646269080905,-0.15716984773451226,0.8018867924528302,50,4134,31,8
SPY,adaptive_raw,0.0825670149369877,0.10799991803817555,0.7888325144327736,-0.18914942927577683,0.6826318335752298,120,4134,0,0
SPY,buy_hold,0.14096233125056634,0.17129869596684694,0.8558945709281581,-0.33717259886422946,,0,4134,0,0
QQQ,static+ML,0.1781035970671343,0.16132981568333857,1.0971602886354057,-0.2382961928427103,0.7346395742622158,28,4134,41,0
QQQ,static+ML_cap1,0.1568934517552898,0.14833641256802657,1.0571726533756673,-0.1794398835732932,0.7017416545718432,33,4134,27,6
QQQ,static_raw,0.11079249782034473,0.12123491496201487,0.9276501739957257,-0.16819879745347133,0.5377358490566038,65,4134,0,0
QQQ,adaptive+ML,0.20585428282688278,0.1723563430834099,1.1728735786487738,-0.24478138748561917,0.8026124818577649,30,4134,44,0
QQQ,adaptive+ML_cap1,0.17409178993861585,0.16226407492328515,1.0708408376860779,-0.22876648724872772,0.7796323173681664,37,4134,33,8
QQQ,adaptive_raw,0.1059921578241858,0.12698337442641738,0.8571921521683993,-0.20417889124595767,0.5933720367682632,95,4134,0,0
QQQ,buy_hold,0.19049179910551994,0.2061241084416993,0.9494559100742384,-0.35118724755029485,,0,4134,0,0
