year,symbol,variant,is_thresh,is_sharpe,oos_ret,oos_bh_ret,oos_bl_ret,oos_sharpe,oos_max_dd,oos_trades,oos_suppressed,oos_blocked,oos_max_supp_dd,n_oos_days
2010,SPY,exit_filter,0.0,0.730249843393394,0.20748836502107615,0.1313735269038978,0.14892474231343722,1.5285766619587027,-0.11750945119577183,3,6,0,-0.08529454492298771,251
2010,SPY,entry_gate,-1.5,0.6964571447013639,0.14892474231343722,0.1313735269038978,0.14892474231343722,1.465576899875349,-0.0878240086846549,9,0,0,0.0,251
2010,SPY,combined,2.5,0.9163879950435164,0.15105598670130482,0.1313735269038978,0.14892474231343722,2.1597211677624952,-0.037157598574370954,1,1,3,-0.03715759857437062,251
2011,SPY,exit_filter,0.0,0.8485835511283797,-0.02040356046991143,0.008523783845008515,-0.08800283851284563,-0.08431571609872973,-0.12900976341430004,7,4,0,-0.09554559837371923,251
2011,SPY,entry_gate,2.0,0.9201497420382004,-0.025162472703334604,0.008523783845008515,-0.08800283851284563,-0.6070566147398894,-0.039374984346918995,3,0,4,0.0,251
2011,SPY,combined,2.5,1.0843131207278205,0.0,0.008523783845008515,-0.08800283851284563,,0.0,0,0,6,0.0,251
2012,SPY,exit_filter,0.0,0.889416802788477,0.0489336059868688,0.14170827619034232,-0.04712950951934647,0.5512489844102194,-0.07345566191735053,3,5,0,-0.02737238977320522,249
2012,SPY,entry_gate,2.0,0.9112544052620798,-0.007717341838731073,0.14170827619034232,-0.04712950951934647,-0.2755875327000979,-0.029901864363989783,2,0,3,0.0,249
2012,SPY,combined,2.5,1.1284152261199971,0.0,0.14170827619034232,-0.04712950951934647,,0.0,0,0,4,0.0,249
2013,SPY,exit_filter,0.0,0.8273103646998036,0.13180390546548093,0.2900144076554978,0.01849736533557489,1.6323117812984604,-0.047357282965452496,1,4,0,-0.04735728296545261,251
2013,SPY,entry_gate,2.0,0.9211239041258052,0.043540997049559715,0.2900144076554978,0.01849736533557489,0.9852913796474302,-0.02985855634354484,4,0,2,0.0,251
2013,SPY,combined,2.0,1.044194487560107,0.05997668564872671,0.2900144076554978,0.01849736533557489,1.1423529694588044,-0.039083599782095635,2,1,2,-0.039083599782095635,251
2014,SPY,exit_filter,0.0,0.9742232693298079,0.1450540327395935,0.14561754283015382,0.06428982343765788,1.3928969925367871,-0.0727347047041006,1,7,0,-0.031599089089206944,251
2014,SPY,entry_gate,2.0,0.9510517323424069,0.06428982343765788,0.14561754283015382,0.06428982343765788,1.0473759771884414,-0.03235525471581602,9,0,0,0.0,251
2014,SPY,combined,-1.0,1.1115304029527229,0.1450540327395935,0.14561754283015382,0.06428982343765788,1.3928969925367871,-0.0727347047041006,1,7,0,-0.031599089089206944,251
2015,SPY,exit_filter,0.0,1.0188335314184152,0.005229536196105666,0.012884830920507406,-0.07956032976265626,0.10781157573123361,-0.11910211252487979,3,13,0,-0.0799662038969371,251
2015,SPY,entry_gate,2.0,0.9341606331821766,-0.06285154543241389,0.012884830920507406,-0.07956032976265626,-0.9739285532378225,-0.08996931847661893,14,0,2,0.0,251
2015,SPY,combined,-0.5,1.1563742001062591,0.01538698439284425,0.012884830920507406,-0.07956032976265626,0.1794279117675247,-0.11910211252487979,2,13,1,-0.0799662038969371,251
2016,SPY,exit_filter,0.0,0.8968694586215703,0.17224606856625257,0.13585760343418674,0.1262016196052882,1.6118038344652454,-0.055243416077451535,1,7,0,-0.04503571650524574,251
2016,SPY,entry_gate,4.0,0.7194158787247942,0.0,0.13585760343418674,0.1262016196052882,,0.0,0,0,6,0.0,251
2016,SPY,combined,-0.5,1.0346952305271488,0.17224606856625257,0.13585760343418674,0.1262016196052882,1.6118038344652454,-0.055243416077451535,1,7,0,-0.04503571650524574,251
2017,SPY,exit_filter,0.0,1.0682672077841997,0.14634407716506193,0.2078140269893738,0.09271219657159468,2.3776485496565094,-0.02081757750736002,1,5,0,-0.015997189762382402,250
2017,SPY,entry_gate,2.0,0.9235845156252588,0.09540183539622316,0.2078140269893738,0.09271219657159468,2.4681521611788533,-0.022263673196777356,3,0,3,0.0,250
2017,SPY,combined,2.0,1.3267443435129014,0.1121635520078954,0.2078140269893738,0.09271219657159468,2.4546291489634333,-0.02081757750736024,1,1,3,-0.02081757750736013,250
2018,SPY,exit_filter,0.0,1.339726746112239,-0.07201395846573144,-0.05247172883209428,-0.06144813313526176,-0.4236598399721399,-0.1934888237937944,1,13,0,-0.1298647110327218,250
2018,SPY,entry_gate,2.0,1.1610635721301432,-0.03785308062672388,-0.05247172883209428,-0.06144813313526176,-0.5212262995008459,-0.07064602977128287,12,0,1,0.0,250
2018,SPY,combined,2.0,1.5207800769830133,-0.04255501221110081,-0.05247172883209428,-0.06144813313526176,-0.2986691342990659,-0.16888638370166698,3,8,1,-0.15607446791172797,250
2019,SPY,exit_filter,0.5,1.0426371948308408,0.26633182202813077,0.31087469179131544,0.17196987002961195,2.0749040336252893,-0.06618359619699199,1,6,0,-0.021254123290089688,251
